"app","ts","event","project_id","source","ident","user_id","session_id","country","device_type","device_os","device_os_ver","device_browser","device_browser_ver","props","nums"
"seq-market","2024-04-15 02:15:07.167","BUY_ITEMS","4974","","1","0896ae95dcaeee38e83fa5c43bef99780d7b2be23bcab36214","5d8afd8fec2fbf3e","DE","desktop","linux","x86_64","chrome","122.0.0.0","{""tokenId"":""215"",""txnHash"":""0xd919290e80df271e77d1cbca61f350d2727531e0334266671ec20d626b2104a2"",""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm"",""requestId"":""""}","{""currencyValueDecimal"":""0.6136203411678249"",""currencyValueRaw"":""613620341167824900""}"
"seq-market","2024-04-15 02:26:37.134","BUY_ITEMS","4974","","1","0896ae95dcaeee38e83fa5c43bef99780d7b2be23bcab36214","5d8afd8fec2fbf3e","DE","desktop","linux","x86_64","chrome","122.0.0.0","{""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm"",""requestId"":"""",""tokenId"":""602"",""txnHash"":""0x1133d2837267e0de2eddf3655a3df99e055d172cb53c4e8e108e70322438e994"",""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422""}","{""currencyValueDecimal"":""2.361412166673735"",""currencyValueRaw"":""2361412166673735000""}"
"seq-market","2024-04-15 02:42:32.507","BUY_ITEMS","4974","","1","0896ae95dcaeee38e83fa5c43bef99780d7b2be23bcab36214","73ffe889f5223b5e","DE","desktop","linux","x86_64","chrome","122.0.0.0","{""marketplaceType"":""amm"",""requestId"":"""",""tokenId"":""201"",""txnHash"":""0x6c51abf80365cbf6a8a03d9e5fe939712742dff4b088d4f99ba44551907e5c2f"",""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL""}","{""currencyValueRaw"":""364528625334421950"",""currencyValueDecimal"":""0.36452862533442193""}"
"seq-market","2024-04-15 11:24:12.561","BUY_ITEMS","4974","","1","0896ae95dcaeee38e83fa5c43bef99780d7b2be23bcab36214","7a5bfa068c342272","DE","desktop","linux","x86_64","chrome","122.0.0.0","{""tokenId"":""601"",""txnHash"":""0xcd5e34370546c26bc426bcfda6fcfc8fd0e08d2be6ee2e00f4d6d455318f8640"",""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm"",""requestId"":""""}","{""currencyValueDecimal"":""3.2776439715275094"",""currencyValueRaw"":""3277643971527509500""}"
"seq-market","2024-04-15 02:08:15.088","BUY_ITEMS","4974","","1","0a1fd56b098f1a67d704a3df8dde57ff5203079ce41c514e37","c475e0029ed26c38","BR","desktop","windows","10.0","firefox","124.0","{""tokenId"":""208"",""txnHash"":""0xbf4fdb8f0fc7728370d03b196ef912c88ad7b7279207756bef19f8974c6ce8da"",""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm"",""requestId"":""""}","{""currencyValueDecimal"":""0.31272612158806923"",""currencyValueRaw"":""312726121588069250""}"
"seq-market","2024-04-15 20:31:37.261","BUY_ITEMS","4974","","1","0a1fd56b098f1a67d704a3df8dde57ff5203079ce41c514e37","917606bc7c7a5a01","BR","desktop","windows","10.0","firefox","124.0","{""requestId"":"""",""tokenId"":""215"",""txnHash"":""0x31a25e8f45c16f5c512b773d0b67cb61c1986d1a3e6c86ecfa3036149ee1fc3a"",""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm""}","{""currencyValueRaw"":""763279576035815600"",""currencyValueDecimal"":""0.7632795760358156""}"
"seq-market","2024-04-15 23:11:53.663","BUY_ITEMS","0","","1","0ad0ccaf38917d9f4605300745d52b14290a8b42c947238e91","9cdc648111fae27f","BR","desktop","windows","10.0","chrome","123.0.0.0","{""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm"",""requestId"":"""",""tokenId"":""603"",""txnHash"":""0xffae880825d153bca4ae0372112aff3aa8a65e11c7b01b6f76c42190cbda349f""}","{""currencyValueDecimal"":""5.5983751242245035"",""currencyValueRaw"":""5598375124224504000""}"
"seq-market","2024-04-15 23:11:53.663","BUY_ITEMS","0","","1","0ad0ccaf38917d9f4605300745d52b14290a8b42c947238e91","9cdc648111fae27f","BR","desktop","windows","10.0","chrome","123.0.0.0","{""requestId"":"""",""tokenId"":""211"",""txnHash"":""0xffae880825d153bca4ae0372112aff3aa8a65e11c7b01b6f76c42190cbda349f"",""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm""}","{""currencyValueRaw"":""1048966199941765500"",""currencyValueDecimal"":""1.0489661999417654""}"
"seq-market","2024-04-15 23:11:53.663","BUY_ITEMS","0","","1","0ad0ccaf38917d9f4605300745d52b14290a8b42c947238e91","9cdc648111fae27f","BR","desktop","windows","10.0","chrome","123.0.0.0","{""tokenId"":""204"",""txnHash"":""0xffae880825d153bca4ae0372112aff3aa8a65e11c7b01b6f76c42190cbda349f"",""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm"",""requestId"":""""}","{""currencyValueDecimal"":""0.3371325186772017"",""currencyValueRaw"":""337132518677201660""}"
"seq-market","2024-04-15 23:20:21.816","BUY_ITEMS","0","","1","0ad0ccaf38917d9f4605300745d52b14290a8b42c947238e91","9cdc648111fae27f","BR","desktop","windows","10.0","chrome","123.0.0.0","{""tokenId"":""604"",""txnHash"":""0xa4bde070809c6159db5ef559b0e7617aa1494e91bbf10024418308dbed8a219c"",""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm"",""requestId"":""""}","{""currencyValueDecimal"":""4.881922726064293"",""currencyValueRaw"":""4881922726064293000""}"
