app,ts,event,project_id,source,ident,user_id,session_id,country,device_type,device_os,device_os_ver,device_browser,device_browser_ver,props,nums
seq-market,2024-04-16 02:33:43.079,BUY_ITEMS,0,,1,02c92c64740750fcfe229619716afdddacb25404bfd38eeaf1,0c2c8fe97e8629f4,US,mobile,android,10,chrome,124.0.0.0,"{""tokenId"":""210"",""txnHash"":""0xeee7d3253aa741bb5f4a50dbfeec72e0ab680975d4e8c37d64c59b8de9bb44df"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""71.97416528567229"",""currencyValueRaw"":""71974165285672290000"",""additionalNums"":""""}"
seq-market,2024-04-16 07:11:44.625,BUY_ITEMS,1609,,1,05fbfeb83086e7625027129ac07a3b9938ccb578cb989b0087,81c8e6b6a25a5457,CZ,desktop,windows,10.0,chrome,123.0.0.0,"{""tokenId"":""47095"",""txnHash"":""0x411a22aa2632d6a66d3a1fae128bf23ecfe04823d3a1056c02153c90d65f10f1"",""currencyAddress"":""0x0000000000000000000000000000000000000000"",""marketplaceType"":""p2p"",""requestId"":"""",""currencySymbol"":""MATIC"",""additionalProps"":""""}","{""currencyValueDecimal"":""2090000000000000000"",""currencyValueRaw"":""2090000000000000000"",""additionalNums"":""""}"
seq-market,2024-04-16 14:35:32.914,BUY_ITEMS,0,,1,072457b8f667b1af6d35a3539e9db1ca86d33253f3ac1de6e6,0ee55ecfd561922b,PH,desktop,windows,10.0,chrome,123.0.0.0,"{""tokenId"":""610"",""txnHash"":""0x5745aafc450c6cf586e56c4f94351a2d4040689ab6287b470168eaf21cb94b9c"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""11.653402182565895"",""currencyValueRaw"":""11653402182565894000"",""additionalNums"":""""}"
seq-market,2024-04-16 14:49:21.080,BUY_ITEMS,0,,1,072457b8f667b1af6d35a3539e9db1ca86d33253f3ac1de6e6,0ee55ecfd561922b,PH,desktop,windows,10.0,chrome,123.0.0.0,"{""tokenId"":""447"",""txnHash"":""0x78084de77ceb0d1341d6aa88194ff8d647ed69d30843eb49582769458eeda24e"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""29.069449552203455"",""currencyValueRaw"":""29069449552203457000"",""additionalNums"":""""}"
seq-market,2024-04-16 14:49:21.080,BUY_ITEMS,0,,1,072457b8f667b1af6d35a3539e9db1ca86d33253f3ac1de6e6,0ee55ecfd561922b,PH,desktop,windows,10.0,chrome,123.0.0.0,"{""tokenId"":""612"",""txnHash"":""0x78084de77ceb0d1341d6aa88194ff8d647ed69d30843eb49582769458eeda24e"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""12.530995673865432"",""currencyValueRaw"":""12530995673865433000"",""additionalNums"":""""}"
seq-market,2024-04-16 03:14:46.431,BUY_ITEMS,4974,,1,0896ae95dcaeee38e83fa5c43bef99780d7b2be23bcab36214,57e0d297ab554cd9,DE,desktop,linux,x86_64,chrome,122.0.0.0,"{""tokenId"":""215"",""txnHash"":""0xf42dc9db96e5aaa9c56d0bfb2951e92f3f334448e9bcdbad015a8544f95ef053"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""0.4533816936278783"",""currencyValueRaw"":""453381693627878300"",""additionalNums"":""""}"
seq-market,2024-04-16 03:18:48.770,BUY_ITEMS,4974,,1,0896ae95dcaeee38e83fa5c43bef99780d7b2be23bcab36214,57e0d297ab554cd9,DE,desktop,linux,x86_64,chrome,122.0.0.0,"{""tokenId"":""211"",""txnHash"":""0x8ef71fb38d59794d463a13e2eaaae105f74d44500532153fa22245fe2e12761b"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""1.3132884729154992"",""currencyValueRaw"":""1313288472915499000"",""additionalNums"":""""}"
seq-market,2024-04-16 03:18:48.770,BUY_ITEMS,4974,,1,0896ae95dcaeee38e83fa5c43bef99780d7b2be23bcab36214,57e0d297ab554cd9,DE,desktop,linux,x86_64,chrome,122.0.0.0,"{""tokenId"":""604"",""txnHash"":""0x8ef71fb38d59794d463a13e2eaaae105f74d44500532153fa22245fe2e12761b"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""1.629530495162098"",""currencyValueRaw"":""1629530495162098000"",""additionalNums"":""""}"
seq-market,2024-04-16 03:18:48.770,BUY_ITEMS,4974,,1,0896ae95dcaeee38e83fa5c43bef99780d7b2be23bcab36214,57e0d297ab554cd9,DE,desktop,linux,x86_64,chrome,122.0.0.0,"{""tokenId"":""602"",""txnHash"":""0x8ef71fb38d59794d463a13e2eaaae105f74d44500532153fa22245fe2e12761b"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""1.872504409369717"",""currencyValueRaw"":""1872504409369717000"",""additionalNums"":""""}"
seq-market,2024-04-16 03:18:48.770,BUY_ITEMS,4974,,1,0896ae95dcaeee38e83fa5c43bef99780d7b2be23bcab36214,57e0d297ab554cd9,DE,desktop,linux,x86_64,chrome,122.0.0.0,"{""tokenId"":""603"",""txnHash"":""0x8ef71fb38d59794d463a13e2eaaae105f74d44500532153fa22245fe2e12761b"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""1.6901435033427998"",""currencyValueRaw"":""1690143503342800000"",""additionalNums"":""""}"
